domain,time_bin,kalshi_slope,polymarket_slope,difference
Sports,0-1h,1.1015,1.0282,-0.0733
Sports,1-3h,0.9599,0.9756,0.0156
Sports,3-6h,0.8965,1.1713,0.2748
Sports,6-12h,1.0058,1.0009,-0.005
Sports,12-24h,1.0527,1.0589,0.0063
Sports,24-48h,1.0752,0.9496,-0.1256
Sports,2d-1w,1.0371,1.0965,0.0594
Sports,1w-1mo,1.24,0.9741,-0.2659
Sports,1mo+,1.7401,1.3224,-0.4177
Crypto,0-1h,0.9931,1.7534,0.7603
Crypto,1-3h,1.0126,1.3897,0.3771
Crypto,3-6h,1.065,0.8616,-0.2034
Crypto,6-12h,1.0068,1.0442,0.0374
Crypto,12-24h,1.0055,0.9961,-0.0094
Crypto,24-48h,1.2092,1.1227,-0.0865
Crypto,2d-1w,1.121,0.9984,-0.1226
Crypto,1w-1mo,1.0902,1.1611,0.0709
Crypto,1mo+,1.3574,1.0596,-0.2978
Politics,0-1h,1.341,0.6214,-0.7196
Politics,1-3h,0.9326,0.8593,-0.0733
Politics,3-6h,1.3165,1.1157,-0.2008
Politics,6-12h,1.5518,0.9356,-0.6162
Politics,12-24h,1.4767,1.2766,-0.2001
Politics,24-48h,1.5154,1.2342,-0.2812
Politics,2d-1w,1.8325,1.9818,0.1492
Politics,1w-1mo,1.8329,1.6812,-0.1518
Politics,1mo+,1.7295,1.0859,-0.6436
Finance,0-1h,0.9572,0.9136,-0.0436
Finance,1-3h,1.068,0.069,-0.999
Finance,3-6h,1.0252,2.431,1.4058
Finance,6-12h,0.9667,1.0234,0.0567
Finance,12-24h,0.983,1.8126,0.8296
Finance,24-48h,0.8162,2.4526,1.6364
Finance,2d-1w,1.0654,1.6761,0.6108
Finance,1w-1mo,1.4202,1.7559,0.3357
Finance,1mo+,1.1998,2.113,0.9132
